Modified iata,Modified name,Modified city,Modified state,Modified country,Modified latitude,Modified longitude
Modified 0B8,Modified Elizabeth,Modified Fishers Island,Modified NY,Modified USA,Modified 41.25130806,Modified -72.03161139
Modified 0C0,Modified Dacy,Modified Chicago/Harvard,Modified IL,Modified USA,Modified 42.40418556,Modified -88.63343222
Modified 0C4,Modified Pender Municipal,Modified Pender,Modified NE,Modified USA,Modified 42.11388722,Modified -96.72892556
Modified 0D1,Modified South Haven Municipal,Modified South Haven,Modified MI,Modified USA,Modified 42.35083333,Modified -86.25613889
Modified 0D8,Modified Gettysburg Municipal,Modified Gettysburg,Modified SD,Modified USA,Modified 44.98730556,Modified -99.9535
Modified 0E0,Modified Moriarty,Modified Moriarty,Modified NM,Modified USA,Modified 34.98560639,Modified -106.0094661
Modified 0E8,Modified Crownpoint,Modified Crownpoint,Modified NM,Modified USA,Modified 35.71765889,Modified -108.2015961
Modified 0F2,Modified Bowie Municipal,Modified Bowie,Modified TX,Modified USA,Modified 33.60166667,Modified -97.77556
Modified 0F4,Modified Loup City Municipal,Modified Loup City,Modified NE,Modified USA,Modified 41.29028694,Modified -98.99064278
Modified 0F7,Modified Fountainhead Lodge Airpark,Modified Eufaula,Modified OK,Modified USA,Modified 35.38898833,Modified -95.60165111
Modified 0F8,Modified William R Pogue Municipal,Modified Sand Springs,Modified OK,Modified USA,Modified 36.17528,Modified -96.15181028
Modified 0F9,Modified Tishomingo Airpark,Modified Tishomingo,Modified OK,Modified USA,Modified 34.19592833,Modified -96.67555694
Modified 0G0,Modified North Buffalo Suburban,Modified Lockport,Modified NY,Modified USA,Modified 43.10318389,Modified -78.70334583
Modified 0G3,Modified Tecumseh Municipal,Modified Tecumseh,Modified NE,Modified USA,Modified 40.39944417,Modified -96.17139694
Modified 0G6,Modified Williams County,Modified Bryan,Modified OH,Modified USA,Modified 41.46736111,Modified -84.50655556
Modified 0G7,Modified Finger Lakes Regional,Modified Seneca Falls,Modified NY,Modified USA,Modified 42.88062278,Modified -76.78162028
Modified 0H1,Modified Trego Wakeeney,Modified Wakeeney,Modified KS,Modified USA,Modified 39.0044525,Modified -99.89289917
Modified 0I8,Modified Cynthiana-Harrison County,Modified Cynthiana,Modified KY,Modified USA,Modified 38.36674167,Modified -84.28410056
Modified 0J0,Modified Abbeville Municipal,Modified Abbeville,Modified AL,Modified USA,Modified 31.60016778,Modified -85.23882222
Modified 0J4,Modified Florala Municipal,Modified Florala,Modified AL,Modified USA,Modified 31.04247361,Modified -86.31156111
Modified 0J6,Modified Headland Municipal,Modified Headland,Modified AL,Modified USA,Modified 31.364895,Modified -85.30965556
Modified 0K7,Modified Humboldt Municipal,Modified Humboldt,Modified IA,Modified USA,Modified 42.7360825,Modified -94.24524167
Modified 0L5,Modified Goldfield,Modified Goldfield,Modified NV,Modified USA,Modified 37.71798833,Modified -117.2384119
Modified 0L7,Modified Jean,Modified Jean,Modified NV,Modified USA,Modified 35.76827222,Modified -115.3296378
Modified 0L9,Modified Echo Bay,Modified Overton,Modified NV,Modified USA,Modified 36.31108972,Modified -114.4638672
Modified 0M0,Modified Dumas Municipal,Modified Dumas,Modified AR,Modified USA,Modified 33.8845475,Modified -91.53429111
Modified 0M1,Modified Scott,Modified Parsons,Modified TN,Modified USA,Modified 35.63778,Modified -88.127995
Modified 0M4,Modified Benton County,Modified Camden,Modified TN,Modified USA,Modified 36.01122694,Modified -88.12328833
Modified 0M5,Modified Humphreys County,Modified Waverly,Modified TN,Modified USA,Modified 36.11659972,Modified -87.73815889
Modified 0M6,Modified Panola County,Modified Batesville,Modified MS,Modified USA,Modified 34.36677444,Modified -89.90008917
Modified 0M8,Modified Byerley,Modified Lake Providence,Modified LA,Modified USA,Modified 32.82587917,Modified -91.187665
Modified 0O3,Modified Calaveras Co-Maury Rasmussen,Modified San Andreas,Modified CA,Modified USA,Modified 38.14611639,Modified -120.6481733
Modified 0O4,Modified Corning Municipal,Modified Corning,Modified CA,Modified USA,Modified 39.94376806,Modified -122.1713781
Modified 0O5,Modified University,Modified Davis,Modified CA,Modified USA,Modified 38.53146222,Modified -121.7864906
Modified 0Q5,Modified Shelter Cove,Modified Shelter Cove,Modified CA,Modified USA,Modified 40.02764333,Modified -124.0733639
Modified 0Q6,Modified Shingletown,Modified Shingletown,Modified CA,Modified USA,Modified 40.52210111,Modified -121.8177683
Modified 0R0,Modified Columbia-Marion County,Modified Columbia,Modified MS,Modified USA,Modified 31.29700806,Modified -89.81282944
Modified 0R1,Modified Atmore Municipal,Modified Atmore,Modified AL,Modified USA,Modified 31.01621528,Modified -87.44675972
Modified 0R3,Modified Abbeville Chris Crusta Memorial,Modified Abbeville,Modified LA,Modified USA,Modified 29.97576083,Modified -92.08415167
Modified 0R4,Modified Concordia Parish,Modified Vidalia,Modified LA,Modified USA,Modified 31.56683278,Modified -91.50011889
Modified 0R5,Modified David G Joyce,Modified Winnfield,Modified LA,Modified USA,Modified 31.96366222,Modified -92.66026056
Modified 0R7,Modified Red River,Modified Coushatta,Modified LA,Modified USA,Modified 31.99071694,Modified -93.30739306
Modified 0S7,Modified Dorothy Scott,Modified Oroville,Modified WA,Modified USA,Modified 48.958965,Modified -119.4119622
Modified 0S9,Modified Jefferson County International,Modified Port Townsend,Modified WA,Modified USA,Modified 48.04981361,Modified -122.8012792
Modified 0V2,Modified Harriet Alexander,Modified Salida,Modified CO,Modified USA,Modified 38.53916389,Modified -106.0458483
Modified 0V3,Modified Pioneer Village,Modified Minden,Modified NE,Modified USA,Modified 40.5149125,Modified -98.94565083
Modified 0V4,Modified Brookneal/Campbell County,Modified Brookneal,Modified VA,Modified USA,Modified 37.14172222,Modified -79.01638889
Modified 0V6,Modified Mission Sioux,Modified Mission,Modified SD,Modified USA,Modified 43.30694778,Modified -100.6281936
Modified 0V7,Modified Kayenta,Modified Kayenta,Modified AZ,Modified USA,Modified 36.70972139,Modified -110.2367978
Modified 10C,Modified Galt,Modified Chicago/Greenwood/Wonderlake,Modified IL,Modified USA,Modified 42.40266472,Modified -88.37588917
Modified 10D,Modified Winsted Municipal,Modified Winsted,Modified MN,Modified USA,Modified 44.94996278,Modified -94.0669175
Modified 10G,Modified Holmes County,Modified Millersburg,Modified OH,Modified USA,Modified 40.53716667,Modified -81.95436111
Modified 10N,Modified Wallkill,Modified Wallkill,Modified NY,Modified USA,Modified 41.62787111,Modified -74.13375583
Modified 10U,Modified Owyhee,Modified Owyhee,Modified NV,Modified USA,Modified 41.95323306,Modified -116.1876014
Modified 11A,Modified Clayton Municipal,Modified Clayton,Modified AL,Modified USA,Modified 31.88329917,Modified -85.48491361
Modified 11D,Modified Clarion Cty,Modified Clarion,Modified PA,Modified USA,Modified 41.22581222,Modified -79.44098972
Modified 11IS,Modified Schaumburg Heliport,Modified Chicago/Schaumburg,Modified IL,Modified USA,Modified 42.04808278,Modified -88.05257194
Modified 11J,Modified Early County,Modified Blakely,Modified GA,Modified USA,Modified 31.39698611,Modified -84.89525694
Modified 11R,Modified Brenham Municipal,Modified Brenham,Modified TX,Modified USA,Modified 30.219,Modified -96.37427778
Modified 12C,Modified Rochelle Municipal,Modified Rochelle,Modified IL,Modified USA,Modified 41.89300139,Modified -89.07829
Modified 12D,Modified Tower Municipal,Modified Tower,Modified MN,Modified USA,Modified 47.81833333,Modified -92.29166667
Modified 12J,Modified Brewton Municipal,Modified Brewton,Modified AL,Modified USA,Modified 31.05126306,Modified -87.06796833
Modified 12K,Modified Superior Municipal,Modified Superior,Modified NE,Modified USA,Modified 40.04636111,Modified -98.06011111
Modified 12Y,Modified Le Sueur Municipal,Modified Le Sueur,Modified MN,Modified USA,Modified 44.43746472,Modified -93.91274083
Modified 13C,Modified Lakeview,Modified Lakeview,Modified MI,Modified USA,Modified 43.45213722,Modified -85.26480333
Modified 13K,Modified Eureka Municipal,Modified Eureka,Modified KS,Modified USA,Modified 37.8515825,Modified -96.29169806
Modified 13N,Modified Trinca,Modified Andover,Modified NJ,Modified USA,Modified 40.96676444,Modified -74.78016556
Modified 14J,Modified Carl Folsom,Modified Elba,Modified AL,Modified USA,Modified 31.40988861,Modified -86.08883583
Modified 14M,Modified Hollandale Municipal,Modified Hollandale,Modified MS,Modified USA,Modified 33.18262167,Modified -90.83065444
Modified 14Y,Modified Todd Field,Modified Long Prairie,Modified MN,Modified USA,Modified 45.89857556,Modified -94.87391
Modified 15F,Modified Haskell Municipal,Modified Haskell,Modified TX,Modified USA,Modified 33.19155556,Modified -99.71793056
Modified 15J,Modified Cook County,Modified Adel,Modified GA,Modified USA,Modified 31.13780556,Modified -83.45308333
Modified 15M,Modified Luka,Modified Luka,Modified MS,Modified USA,Modified 34.7723125,Modified -88.16587444
Modified 15Z,Modified McCarthy 2,Modified McCarthy,Modified AK,Modified USA,Modified 61.43706083,Modified -142.9037372
Modified 16A,Modified Nunapitchuk,Modified Nunapitchuk,Modified AK,Modified USA,Modified 60.90582833,Modified -162.4391158
Modified 16G,Modified Seneca County,Modified Tiffin,Modified OH,Modified USA,Modified 41.09405556,Modified -83.2125
Modified 16J,Modified Dawson Municipal,Modified Dawson,Modified GA,Modified USA,Modified 31.74328472,Modified -84.419285
Modified 16S,Modified Myrtle Creek Municipal,Modified Myrtle Creek,Modified OR,Modified USA,Modified 42.99845056,Modified -123.3095092
Modified 17G,Modified Port Bucyrus-Crawford County,Modified Bucyrus,Modified OH,Modified USA,Modified 40.78141667,Modified -82.97469444
Modified 17J,Modified Donalsonville Municipal,Modified Donalsonville,Modified GA,Modified USA,Modified 31.00694444,Modified -84.87761111
Modified 17K,Modified Boise City,Modified Boise City,Modified OK,Modified USA,Modified 36.77430028,Modified -102.5104364
Modified 17M,Modified Magee Municipal,Modified Magee,Modified MS,Modified USA,Modified 31.86127139,Modified -89.80285361
Modified 17N,Modified Cross Keys,Modified Cross Keys,Modified NJ,Modified USA,Modified 39.70547583,Modified -75.03300306
Modified 17Z,Modified Manokotak,Modified Manokotak,Modified AK,Modified USA,Modified 58.98896583,Modified -159.0499739
Modified 18A,Modified Franklin County,Modified Canon,Modified GA,Modified USA,Modified 34.34010472,Modified -83.13348333
Modified 18I,Modified McCreary County,Modified Pine Knot,Modified KY,Modified USA,Modified 36.69591306,Modified -84.39160389
Modified 19A,Modified Jackson County,Modified Jefferson,Modified GA,Modified USA,Modified 34.17402472,Modified -83.56066528
Modified 19M,Modified C A Moore,Modified Lexington,Modified MS,Modified USA,Modified 33.12546111,Modified -90.02555694
Modified 19N,Modified Camden,Modified Berlin,Modified NJ,Modified USA,Modified 39.77842056,Modified -74.94780389
Modified 19P,Modified Port Protection SPB,Modified Port Protection,Modified AK,Modified USA,Modified 56.32880417,Modified -133.6100844
Modified 1A3,Modified Martin Campbell,Modified Copperhill,Modified TN,Modified USA,Modified 35.01619111,Modified -84.34631083
Modified 1A5,Modified Macon County,Modified Franklin,Modified NC,Modified USA,Modified 35.222595,Modified -83.41904389
Modified 1A6,Modified Middlesboro-Bell County,Modified Middlesboro,Modified KY,Modified USA,Modified 36.6106375,Modified -83.73741611
Modified 1A7,Modified Jackson County,Modified Gainesboro,Modified TN,Modified USA,Modified 36.39728139,Modified -85.64164278
Modified 1A9,Modified Autauga County,Modified Prattville,Modified AL,Modified USA,Modified 32.438775,Modified -86.51044778
Modified 1B0,Modified Dexter Regional,Modified Dexter,Modified ME,Modified USA,Modified 45.00839444,Modified -69.23976722
Modified 1B1,Modified Columbia Cty,Modified Hudson,Modified NY,Modified USA,Modified 42.29130028,Modified -73.71031944
Modified 1B3,Modified Fair Haven,Modified Fair Haven,Modified VT,Modified USA,Modified 43.61534389,Modified -73.27455556
Modified 1B9,Modified Mansfield Municipal,Modified Mansfield,Modified MA,Modified USA,Modified 42.00013306,Modified -71.19677139
Modified 1C5,Modified Clow,Modified Chicago/Plainfield,Modified IL,Modified USA,Modified 41.69597444,Modified -88.12923056
Modified 1D1,Modified Milbank Municipal,Modified Milbank,Modified SD,Modified USA,Modified 45.23053806,Modified -96.56596556
Modified 1D2,Modified Canton -Plymouth -  Mettetal,Modified Plymouth,Modified MI,Modified USA,Modified 42.35003667,Modified -83.45826833
Modified 1D3,Modified Platte Municipal,Modified Platte,Modified SD,Modified USA,Modified 43.40332833,Modified -98.82952972
Modified 1D6,Modified Hector Municipal,Modified Hector,Modified MN,Modified USA,Modified 44.73107278,Modified -94.71471333
Modified 1D7,Modified Webster Municipal,Modified Webster,Modified SD,Modified USA,Modified 45.29329111,Modified -97.51369889
Modified 1D8,Modified Redfield Municipal,Modified Redfield,Modified SD,Modified USA,Modified 44.86247611,Modified -98.52953972
Modified 1F0,Modified Downtown Ardmore,Modified Ardmore,Modified OK,Modified USA,Modified 34.14698917,Modified -97.12265194
Modified 1F1,Modified Lake Murray State Park,Modified Overbrook,Modified OK,Modified USA,Modified 34.07509694,Modified -97.10667917
Modified 1F4,Modified Madill Municipal,Modified Madill,Modified OK,Modified USA,Modified 34.14040194,Modified -96.81203222
Modified 1F9,Modified Bridgeport Municipal,Modified Bridgeport,Modified TX,Modified USA,Modified 33.17533333,Modified -97.82838889
Modified 1G0,Modified Wood County,Modified Bowling Green,Modified OH,Modified USA,Modified 41.391,Modified -83.63013889
Modified 1G3,Modified Kent State University,Modified Kent,Modified OH,Modified USA,Modified 41.15186167,Modified -81.41658306
Modified 1G4,Modified Grand Canyon West,Modified Peach Springs,Modified AZ,Modified USA,Modified 35.99221,Modified -113.8166164
Modified 1G5,Modified Freedom,Modified Medina,Modified OH,Modified USA,Modified 41.13144444,Modified -81.76491667
Modified 1G6,Modified Michael,Modified Cicero,Modified NY,Modified USA,Modified 43.18166667,Modified -76.12777778
Modified 1H0,Modified Creve Coeur,Modified St Louis,Modified MO,Modified USA,Modified 38.72752,Modified -90.50830417
Modified 1H2,Modified Effingham County Memorial,Modified Effingham,Modified IL,Modified USA,Modified 39.07045083,Modified -88.53351972
Modified 1H3,Modified Linn State Tech. College,Modified Linn,Modified MO,Modified USA,Modified 38.47149444,Modified -91.81531667
Modified 1H8,Modified Casey Municipal,Modified Casey,Modified IL,Modified USA,Modified 39.30250917,Modified -88.00406194
Modified 1I5,Modified Freehold,Modified Freehold,Modified NY,Modified USA,Modified 42.36425,Modified -74.06596806
Modified 1I9,Modified Delphi Municipal,Modified Delphi,Modified IN,Modified USA,Modified 40.54281417,Modified -86.68167194
Modified 1J0,Modified Tri-County,Modified Bonifay,Modified FL,Modified USA,Modified 30.84577778,Modified -85.60138889
Modified 1K2,Modified Lindsay Municipal,Modified Lindsay,Modified OK,Modified USA,Modified 34.85007333,Modified -97.58642028
Modified 1K4,Modified David J. Perry,Modified Goldsby,Modified OK,Modified USA,Modified 35.1550675,Modified -97.47039389
Modified 1K5,Modified Waynoka Municipal,Modified Waynoka,Modified OK,Modified USA,Modified 36.56670028,Modified -98.85231333
Modified 1K9,Modified Satanta Municipal,Modified Satanta,Modified KS,Modified USA,Modified 37.45419111,Modified -100.9921119
Modified 1L0,Modified St. John the Baptist Parish,Modified Reserve,Modified LA,Modified USA,Modified 30.08720833,Modified -90.58266528
Modified 1L1,Modified Lincoln Co,Modified Panaca,Modified NV,Modified USA,Modified 37.78746444,Modified -114.4216567
Modified 1L7,Modified Escalante Municipal,Modified Escalante,Modified UT,Modified USA,Modified 37.74532639,Modified -111.5701653
Modified 1L9,Modified Parowan,Modified Parowan,Modified UT,Modified USA,Modified 37.85969694,Modified -112.816055
Modified 1M1,Modified North Little Rock Municipal,Modified No Lit Rock,Modified AR,Modified USA,Modified 34.83398056,Modified -92.25792778
Modified 1M2,Modified Belzoni Municipal,Modified Belzoni,Modified MS,Modified USA,Modified 33.14518056,Modified -90.51528472
Modified 1M4,Modified Posey,Modified Haleyville,Modified AL,Modified USA,Modified 34.28034806,Modified -87.60044139
Modified 1M5,Modified Portland Municipal,Modified Portland,Modified TN,Modified USA,Modified 36.59287528,Modified -86.47691028
Modified 1M7,Modified Fulton,Modified Fulton,Modified KY,Modified USA,Modified 36.52589417,Modified -88.91561611
Modified 1MO,Modified Mountain Grove Memorial,Modified Mountain Grove,Modified MO,Modified USA,Modified 37.12071889,Modified -92.311245
Modified 1N2,Modified Spadaro,Modified East Moriches,Modified NY,Modified USA,Modified 40.82787639,Modified -72.74871083
Modified 1N4,Modified Woodbine Muni,Modified Woodbine,Modified NJ,Modified USA,Modified 39.21915,Modified -74.794765
Modified 1N7,Modified Blairstown,Modified Blairstown,Modified NJ,Modified USA,Modified 40.97114556,Modified -74.99747556
Modified 1N9,Modified Allentown Queen City Muni,Modified Allentown,Modified PA,Modified USA,Modified 40.57027778,Modified -75.48830556
Modified 1ND3,Modified Hamry,Modified Kindred,Modified ND,Modified USA,Modified 46.6485775,Modified -97.00564306
Modified 1O1,Modified Grandfield Municipal,Modified Grandfield,Modified OK,Modified USA,Modified 34.23758944,Modified -98.74200917
Modified 1O2,Modified Lampson,Modified Lakeport,Modified CA,Modified USA,Modified 38.99017472,Modified -122.8997175
Modified 1O3,Modified Lodi,Modified Lodi,Modified CA,Modified USA,Modified 38.20241667,Modified -121.2684167
Modified 1O4,Modified Thomas Municipal,Modified Thomas,Modified OK,Modified USA,Modified 35.73338222,Modified -98.73063833
Modified 1O6,Modified Dunsmuir Municipal-Mott,Modified Dunsmuir,Modified CA,Modified USA,Modified 41.26320889,Modified -122.2719528
Modified 1R1,Modified Jena,Modified Jena,Modified LA,Modified USA,Modified 31.671005,Modified -92.15846722
Modified 1R7,Modified Brookhaven-Lincoln County,Modified Brookhaven,Modified MS,Modified USA,Modified 31.6058475,Modified -90.40931583
Modified 1R8,Modified Bay Minette Municipal,Modified Bay Minette,Modified AL,Modified USA,Modified 30.87046278,Modified -87.81738167
Modified 1S0,Modified Pierce County,Modified Puyallup,Modified WA,Modified USA,Modified 47.10391667,Modified -122.2871944
Modified 1S3,Modified Tillitt,Modified Forsyth,Modified MT,Modified USA,Modified 46.27110639,Modified -106.6239206
Modified 1S5,Modified Sunnyside Municipal,Modified Sunnyside,Modified WA,Modified USA,Modified 46.32763139,Modified -119.9705964
Modified 1S6,Modified Priest River Muni,Modified Priest River,Modified ID,Modified USA,Modified 48.19018611,Modified -116.9093644
Modified 1U7,Modified Bear Lake County,Modified Paris,Modified ID,Modified USA,Modified 42.24714972,Modified -111.33826
Modified 1V0,Modified Navajo State Park,Modified Navajo Dam,Modified NM,Modified USA,Modified 36.80833833,Modified -107.6514444
Modified 1V2,Modified Grant County,Modified Hyannis,Modified NE,Modified USA,Modified 42.00942944,Modified -101.7693439
Modified 1V5,Modified Boulder Muni,Modified Boulder,Modified CO,Modified USA,Modified 40.03942972,Modified -105.2258217
Modified 1V6,Modified Fremont County,Modified Canon City,Modified CO,Modified USA,Modified 38.42838111,Modified -105.1054994
Modified 1V9,Modified Blake,Modified Delta,Modified CO,Modified USA,Modified 38.78539722,Modified -108.0636611
Modified 20A,Modified Robbins,Modified Oneonta,Modified AL,Modified USA,Modified 33.97231972,Modified -86.37942722
Modified 20M,Modified Macon Municipal,Modified Macon,Modified MS,Modified USA,Modified 33.13345889,Modified -88.53559806
Modified 20N,Modified Kingston-Ulster,Modified Kingston,Modified NY,Modified USA,Modified 41.9852525,Modified -73.96409722
Modified 20U,Modified Beach,Modified Beach,Modified ND,Modified USA,Modified 46.92362444,Modified -103.9785389
Modified 20V,Modified McElroy Airfield,Modified Kremmling,Modified CO,Modified USA,Modified 40.05367972,Modified -106.3689467
Modified 21D,Modified Lake Elmo,Modified St Paul,Modified MN,Modified USA,Modified 44.99748861,Modified -92.85568111
Modified 21F,Modified Jacksboro Municipal,Modified Jacksboro,Modified TX,Modified USA,Modified 33.228725,Modified -98.14671083
Modified 22B,Modified Mountain Meadow Airstrip,Modified Burlington,Modified CT,Modified USA,Modified 41.77287528,Modified -73.01121667
Modified 22I,Modified Vinton County,Modified McArthur,Modified OH,Modified USA,Modified 39.328125,Modified -82.44182167
Modified 22M,Modified Pontotoc County,Modified Pontotoc,Modified MS,Modified USA,Modified 34.27593833,Modified -89.03839694
Modified 22N,Modified Carbon Cty-Jake Arner Memorial,Modified Lehighton,Modified PA,Modified USA,Modified 40.80950889,Modified -75.76149639
Modified 23J,Modified Herlong,Modified Jacksonville,Modified FL,Modified USA,Modified 30.27778889,Modified -81.80594722
Modified 23M,Modified Clarke County,Modified Quitman,Modified MS,Modified USA,Modified 32.08487111,Modified -88.73893389
Modified 23N,Modified Bayport Aerodrome,Modified Bayport,Modified NY,Modified USA,Modified 40.75843139,Modified -73.05372083
Modified 23R,Modified Devine Municipal,Modified Devine,Modified TX,Modified USA,Modified 29.1384075,Modified -98.94189028
Modified 24A,Modified Jackson County,Modified Sylva,Modified NC,Modified USA,Modified 35.3168625,Modified -83.20936806
Modified 24J,Modified Suwannee County,Modified Live Oak,Modified FL,Modified USA,Modified 30.30105583,Modified -83.02318778
Modified 24N,Modified Jicarilla Apache Nation,Modified Dulce,Modified NM,Modified USA,Modified 36.828535,Modified -106.8841914
Modified 25J,Modified Cuthbert-Randolph,Modified Cuthbert,Modified GA,Modified USA,Modified 31.70016583,Modified -84.82492194
Modified 25M,Modified Ripley,Modified Ripley,Modified MS,Modified USA,Modified 34.72226778,Modified -89.01504944
Modified 25R,Modified International,Modified Edinburg,Modified TX,Modified USA,Modified 26.44201083,Modified -98.12945306
Modified 26A,Modified Ashland/Lineville,Modified Ashland/Lineville,Modified AL,Modified USA,Modified 33.28761417,Modified -85.80412861
Modified 26N,Modified Ocean City Muni cipal,Modified Ocean City,Modified NJ,Modified USA,Modified 39.26347222,Modified -74.60747222
Modified 26R,Modified Jackson County,Modified Edna/Ganado,Modified TX,Modified USA,Modified 29.00101,Modified -96.58194667
Modified 26U,Modified McDermitt State,Modified McDermitt,Modified OR,Modified USA,Modified 42.00211083,Modified -117.7231972
Modified 27A,Modified Elbert County-Patz,Modified Elberton,Modified GA,Modified USA,Modified 34.09519722,Modified -82.81586417
Modified 27D,Modified Myers,Modified Canby,Modified MN,Modified USA,Modified 44.72801889,Modified -96.26309972
Modified 27J,Modified Newberry Municipal,Modified Newberry,Modified SC,Modified USA,Modified 34.30927778,Modified -81.63972222
Modified 27K,Modified Georgetown-Scott County,Modified Georgetown,Modified KY,Modified USA,Modified 38.23442528,Modified -84.43468667
Modified 28J,Modified Kay Larkin,Modified Palatka,Modified FL,Modified USA,Modified 29.65863889,Modified -81.68855556
Modified 29D,Modified Grove City,Modified Grove City,Modified PA,Modified USA,Modified 41.14597611,Modified -80.16592194
Modified 29G,Modified Portage County,Modified Ravenna,Modified OH,Modified USA,Modified 41.210195,Modified -81.25163083
Modified 29S,Modified Gardiner,Modified Gardiner,Modified MT,Modified USA,Modified 45.04993556,Modified -110.7466008
